time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,RSI_14,EMA_20,VWAP_14,OBV,ATR_14
1696118400,27072.97,27287.69,26950.72,27107.33,106416,662,0,26645.212,57.18871214,26626.57744,,1.84467E+19,597.1912043
1696204800,27064.93,28599.93,27064.93,27831.77,181569,0,0,26775.267,64.82703735,26741.35768,,1.84467E+19,664.1775469
1696291200,27862.65,27873.04,27131.45,27391.7,146747,377,0,26855.337,58.05131028,26803.29505,,1.84467E+19,669.7070078
1696377600,27288.99,27833.65,27187.28,27656.94,143227,699,0,26971.278,60.71640641,26884.59457,,1.84467E+19,668.0400787
1696464000,27615.83,28119.65,27350.71,27455.92,143599,773,0,27086.818,57.72324493,26939.00651,,1.84467E+19,675.2472159
1696550400,27383.99,28055.43,27166.08,27985.88,143728,594,0,27271.022,62.91391666,27038.70875,,1.84467E+19,690.5402719
1696636800,28038.98,28146.21,27854.5,27935.55,97222,676,0,27441.086,62.13369568,27124.1222,,1.84467E+19,662.0523954
1696723200,27879.75,28107.43,27700.08,27919.49,124679,598,0,27523.541,61.87002944,27199.87152,,1.84467E+19,643.8593671
1696809600,27918.57,28002.39,27259.68,27579.64,152521,368,0,27592.799,56.41441305,27236.03994,,1.84467E+19,650.9201266
1696896000,27529.09,27738.15,27287.77,27398.72,157840,536,0,27626.294,53.69972725,27251.53328,,1.84467E+19,636.5958319
1696982400,27333.64,27478.14,26514.36,26697.76,165794,254,0,27585.337,44.72069759,27198.79297,,1.84467E+19,659.9661296
1697068800,26629.15,26936.68,26536.62,26723.99,171220,853,0,27474.559,45.0906902,27153.57364,,1.84467E+19,641.401406
1697155200,26642.69,27051.07,26642.69,26944.67,136480,853,0,27429.856,48.23016256,27133.67805,,1.84467E+19,624.7570199
1697241600,26995.44,27075.3,26749,26847.13,101521,586,0,27348.875,46.95233476,27106.38776,,1.84467E+19,603.4386613
1697328000,26805.36,27227.03,26787.7,27194.35,106437,557,0,27322.718,51.84352916,27114.76512,,1.84467E+19,591.7166141
1697414400,27142.69,30420.52,27037.76,28354.86,178570,0,0,27359.616,63.84316143,27232.86939,,1.84467E+19,791.0768559
1697500800,28307.93,28630.84,28070.67,28464.21,177857,494,0,27412.482,64.73485081,27350.13993,,1.84467E+19,774.5835091
1697587200,28374.78,28995.87,28141.9,28251.27,151771,0,0,27445.66,61.551497,27435.96184,,1.84467E+19,780.2539727
1697673600,28244.44,28930.42,28098.93,28714.73,123811,368,0,27559.169,65.52514094,27557.74928,,1.84467E+19,783.913689
1697760000,28678.07,30251.49,28591.11,29604.16,187519,0,0,27779.713,71.59281119,27752.64554,,1.84467E+19,846.5184255
1697846400,29641.96,30377.73,29470.38,30032.86,125738,654,0,28113.223,73.97078434,27969.80882,,1.84467E+19,850.8635379
1697932800,30004.01,30276.73,29623.49,29860.74,128859,0,0,28426.898,71.38697649,28149.89751,,1.84467E+19,836.7475709
1698019200,29793.13,31832.36,29709.09,31552.09,189424,0,0,28887.64,79.10919387,28473.91584,,1.84467E+19,928.6420302
1698105600,31543.96,35493.54,31434.08,33630.44,169255,0,0,29565.971,84.60683211,28965.01338,,1.84467E+19,1152.271885
1698192000,33489.93,35131.14,33488.41,34678.8,208555,443,0,30314.416,86.53212372,29509.18353,,1.84467E+19,1187.304608
1698278400,34630.98,34844.61,33728.81,34187.73,209927,0,0,30897.703,81.39651456,29954.75939,,1.84467E+19,1182.197136
1698364800,34104.16,34296.37,33340.75,33797.09,207242,438,0,31430.991,77.4582898,30320.69564,,1.84467E+19,1166.013055
1698451200,33833.53,34531.44,33793.97,34133.39,130697,643,0,32019.203,78.42603175,30683.80938,,1.84467E+19,1135.402836
1698537600,34082.59,34774.87,33936.25,34593.67,163231,578,0,32607.097,79.70994546,31056.17706,,1.84467E+19,1114.204062
